IP,Date,Explanation,High Cluster,Mid Cluster,Low Cluster,Fine Cluster
95.69.213.87,901,The client is sending only syn packets on 1433 port,Scan,Client,TCP,sqlsnake
95.187.173.120,902,"2 packet TCP port scan on port ms-sql-s (20 flows, 40 pkts)",Scan,Client,TCP,
87.111.212.240,902,88% from 2 large flows from HTTP,Heavy,Server,TCP,tcp-app-traffic-elephant
94.17.116.100,901,"scanning for port 445, WannaCry?",Scan,Client,TCP,scan-many-host-1-port
93.4.172.169,901,Many DNS queries (300) to 2 DNS servers at 15 pkts/flow,low-rate,Client,DNS,dns-client-traffic-heavy
89.18.201.205,901,"scanning for port 445, WannaCry?",Scan,Client,TCP,scan-many-host-1-port
81.47.51.187,901,DNS Query from CIsco router to juniper router.,low-rate,Client,TCP,scan-many-host-1-port
74.106.230.229,902,"Looks like a web server, using HTTP over both TCP and UDP (QUIC). Might be Youtube.",Heavy,Server,HTTP,web-server-udp-traffic
74.106.230.175,902,Web server with one small download from client,Heavy,Server,HTTP,web-server-traffic
74.146.96.200,901,"One elephant flow of 45MB, 76% elephant flows",Heavy,Server,HTTP,
74.146.96.198,901,Web server traffic with udp and tcp traffic,Heavy,Server,HTTP,web-server-traffic
74.146.96.187,901,UDP based web server with 2000 packets/flow,Flood,Server,TCP,
74.106.230.171,902,"total 180MB, elephant flow 89%, max_byte 31MB, 89% elephant, src port is 443",Heavy,Server,HTTP,
45.125.111.49,902,"SYN scan on Wannacry port (445), 2 pkts each to 52 hosts",Scan,Client,TCP,scan-many-host-1-port
74.146.96.183,901,UDP based web server with many large flows,Heavy,Server,HTTP,
74.146.96.152,901,UDP based web server with many large flows,Heavy,Server,HTTP,
74.146.235.238,901,Web server with a heavy flow,Heavy,Server,HTTP,
74.146.235.145,901,A number of large 30+K UDP flows from HTTPS server,Heavy,Server,HTTP,udp-app-traffic
45.125.111.46,902,SYN scan on Wannacry port (445),Scan,Client,TCP,scan-many-host-1-port
45.125.111.45,902,The client is sending only syn packets on 445 port. This is the port used by wannacry attack,Scan,Client,TCP,wannacry
74.146.105.83,901,Web server traffic to several clients,Heavy,Server,HTTP,web-server-traffic
37.99.88.214,902,Pairs of TCP S and R packets to port 23 and 52869,Scan,Client,MANY,scan-many-host-many-ports
37.82.255.6,902,large number (18K) TCP SYN packets to different hosts/ports,Scan,Client,MANY,scan-many-host-many-ports
74.146.105.232,901,"web server traffic 88% elephant, uses http3 (33% udp)",Heavy,Server,HTTP,web-server-traffic
74.146.105.231,901,"90MB total, max_byte 66MB, 77% elephant",Heavy,Server,HTTP,
73.196.151.134,901,DNS Query from CIsco router to juniper router.,low-rate,Client,TCP,scan-many-host-1-port
60.78.165.2,901,"many tcp flows from server port 5555, seems typical for a server,",Heavy,Server,TCP,tcp-app-traffic
60.113.67.12,901,"All TCP STN, scanning for my-sql port",Scan,Client,TCP,scan-many-host-1-port
52.181.217.153,901,,low-rate,server,TCP,
45.155.16.210,901,"scanning for port 445, WannaCry?",Scan,Client,TCP,scan-many-host-1-port
45.155.16.208,901,"scanning for port 445, WannaCry?",Scan,Client,TCP,scan-many-host-1-port
37.100.222.4,902,SYN follow by RST to 1 http and 1 https repeatedly at 13 pkts/flow,low-rate,Client,TCP,low-rate-TCP-attack
36.236.116.235,902,,Flood,Client,TCP,
36.22.206.134,902,"UDP packets from cisco router to juniper router, Seems like scanning on dfferent dest IP",Scan,Client,TCP,scan-many-host-1-port
34.210.178.179,902,"37 TCP flows, no S/F flags, low but varied rate at 40 pkts/flow",low-rate,Client,TCP,low-rate-tcp-vary
34.205.149.86,902,"src is web server, many short flows (4-6 pkts) all traffic goes to a single destination at 5 pkts/flow",low-rate,Server,TCP,low-rate-TCP-attack
23.3.107.252,902,large number (6K+) of short TCP flows (6 packets) to SMTP and submission servers at 6 pkts/flw,low-rate,Client,TCP,low-rate-TCP-attack
23.130.39.109,902,Web server traffic to a single client about 292 MB,Heavy,Server,HTTP,web-server-traffic
23.130.39.103,902,Webserver traffic to two hosts at 515 pkts/flow,Flood,Server,HTTP,web-server-traffic
